Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1277884,1519146,1569441,1431210
Sumatera Utara,1264941,1692500,1543186,1467636
Sumatera Barat,1189797,1651308,1592713,1426856
Riau,1700452,1728870,1771129,1729264
Jambi,1496677,2069493,1792558,1675825
Sumatera Selatan,1330816,1557000,1385038,1385134
Bengkulu,1163967,1615619,1525738,1361004
Lampung,1129601,1577118,1410061,1319231
Kepulauan Bangka Belitung,1619622,2352874,1834247,1942529
Kepulauan Riau,1534900,2209289,2210663,2045715
DKI Jakarta,1653883,2545112,2407011,2414890
Jawa Barat,1074632,1664435,1632212,1516498
Jawa Tengah,928155,1511322,1312900,1277319
DI Yogyakarta,797820,1274914,1333380,1219417
Jawa Timur,1024312,1543038,1446154,1327048
Banten,1167806,2158701,2121217,1973783
Bali,954452,1291722,1546639,1316454
Nusa Tenggara Barat,894074,1125267,1177647,1081240
Nusa Tenggara Timur,720194,856855,1042142,861203
Kalimantan Barat,1195561,1729434,1789475,1483866
Kalimantan Tengah,1542861,2193428,2000816,1842289
Kalimantan Selatan,1182744,1628121,1565482,1439710
Kalimantan Timur,1925227,2317952,1913663,1988852
Kalimantan Utara,1667405,1946694,2014681,1857159
Sulawesi Utara,1477469,1959390,1806649,1737040
Sulawesi Tengah,1056894,1398222,1603981,1296970
Sulawesi Selatan,1380322,1557580,1625207,1515607
Sulawesi Tenggara,1157842,1357508,1407234,1303899
Gorontalo,1281465,1450955,1250740,1301602
Sulawesi Barat,1187163,1132355,1156912,1165974
Maluku,1060884,1304772,1437140,1264030
Maluku Utara,1131124,1820943,1809918,1566006
Papua Barat,1517823,2099407,2499509,2095964
Papua,1638588,3512758,2899468,2248526
Indonesia,1164685,1611165,1624943,1478608
,,,,
Catatan,,,,
"<sup>1 </sup>Pekerja Informal/ <i>Informal Employee</i> : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i> Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker </i><sup>",,,,
"2 </sup>Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ <i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie </i>",,,,
" Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ <i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction. </i>",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i> Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
