Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1322365,1561824,1746131,1538258
Sumatera Utara,1327922,1658196,1627491,1527603
Sumatera Barat,1214434,1621557,1733735,1495499
Riau,1636364,1748294,2085711,1805628
Jambi,1385628,1899673,1873326,1611885
Sumatera Selatan,1190178,1602931,1484862,1372002
Bengkulu,1135520,1621360,1719955,1420047
Lampung,1113436,1568210,1572745,1373394
Kepulauan Bangka Belitung,1533651,1798205,1840601,1700653
Kepulauan Riau,1687467,2329555,2681173,2367673
DKI Jakarta,2541989,2956548,2761066,2781087
Jawa Barat,1116807,1807997,1833545,1671052
Jawa Tengah,978390,1563572,1440274,1358295
DI Yogyakarta,884017,1419481,1348923,1287061
Jawa Timur,1081298,1653613,1612204,1450984
Banten,1110947,2559839,2244153,2123109
Bali,1205397,1468081,1771480,1527557
Nusa Tenggara Barat,958683,1294610,1385587,1221158
Nusa Tenggara Timur,825583,994660,1183578,992344
Kalimantan Barat,1170757,1797228,2091944,1566981
Kalimantan Tengah,1443717,2043786,2253748,1861911
Kalimantan Selatan,1157180,1647614,1727563,1517773
Kalimantan Timur,1850283,2442927,2299349,2195522
Kalimantan Utara,1761895,2162333,2248219,2037136
Sulawesi Utara,1577521,2142909,1949799,1853310
Sulawesi Tengah,1195327,1574922,1657191,1405454
Sulawesi Selatan,1611858,1564121,1787669,1677594
Sulawesi Tenggara,1394566,1478311,1619934,1502693
Gorontalo,1275361,1369378,1486607,1389090
Sulawesi Barat,1150080,1057244,1394690,1207245
Maluku,1110390,1423561,1800179,1474822
Maluku Utara,1190673,2114131,1964569,1636012
Papua Barat,1564329,2132148,2947946,2376992
Papua,1589075,2804740,3001473,2182504
Indonesia,1199498,1707338,1806639,1596574
,,,,
Catatan,,,,
"1 Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,
"2 Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ Agriculture: Agriculture, Forestry, Hunting, and Fisherie ",,,,
" Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction. ",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service ",,,,
