Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1332607,1510582,1793163,1547604
Sumatera Utara,1347900,1676574,1904517,1673701
Sumatera Barat,1262425,1690482,1904355,1594744
Riau,1739973,2064481,2154394,1928436
Jambi,1611659,2131799,2051155,1821541
Sumatera Selatan,1278954,1596712,1726924,1501799
Bengkulu,1200424,1775885,1664222,1447690
Lampung,1118152,1685424,1751571,1468371
Kepulauan Bangka Belitung,1660353,2234654,2333247,2037486
Kepulauan Riau,1794183,2475534,3082120,2676592
DKI Jakarta,1555286,2690874,3269495,3222666
Jawa Barat,1225150,2067079,2041531,1881809
Jawa Tengah,964026,1550890,1547041,1407657
DI Yogyakarta,818351,1395573,1648379,1415677
Jawa Timur,1058412,1653264,1676792,1467091
Banten,1185781,2066110,2456195,2121536
Bali,1458247,1664796,2377835,1905095
Nusa Tenggara Barat,810760,1157642,1483880,1168359
Nusa Tenggara Timur,924134,1005243,1377900,1088654
Kalimantan Barat,1326637,2076464,2385390,1764395
Kalimantan Tengah,1620451,2280510,2412696,2031525
Kalimantan Selatan,1290293,1635314,1967825,1691582
Kalimantan Timur,2080462,2364964,2729621,2476219
Kalimantan Utara,1942730,1802553,2680734,2226340
Sulawesi Utara,1644228,2068680,2235769,1999295
Sulawesi Tengah,1186947,1591606,1814842,1458321
Sulawesi Selatan,1469058,1763966,2129302,1804007
Sulawesi Tenggara,1203530,1479804,1783061,1489794
Gorontalo,1201197,1283524,1502465,1348609
Sulawesi Barat,1115435,1222379,1354388,1206201
Maluku,1285158,1446377,1865613,1558987
Maluku Utara,1316137,1725105,2426099,1735731
Papua Barat,1863668,2848903,2673541,2405351
Papua,1764359,4489373,2933627,2472904
Indonesia,1235679,1737763,1988649,1700282
,,,,
Catatan,,,,
"<sup>1 </sup>   Pekerja Informal/<i>Informal Employee</i>: Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i>Employment </i>    <i>status are self employed, casual agricultural worker, and casual non-agricultural worker</i><sup>2 </sup>  Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/<i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie</i>    Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/<i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas, </i><i>Water, and Construction.</i>    Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i>Services: Wholesale Trade, Retail Trade, Restaurants and Hotels, </i><i>Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
