Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1398758,1511663,1915674,1620891
Sumatera Utara,1277779,1714302,1996429,1689967
Sumatera Barat,1272181,1699042,2094410,1659339
Riau,1687876,1908746,2322829,1950875
Jambi,1570429,1913764,2266066,1841273
Sumatera Selatan,1339048,1793972,1951874,1675166
Bengkulu,1241139,1767933,1939979,1579182
Lampung,1184321,1532273,1782972,1483937
Kepulauan Bangka Belitung,1703344,2203480,2328732,2040190
Kepulauan Riau,1762014,2635895,3017432,2665689
DKI Jakarta,1734930,2890030,3578085,3515184
Jawa Barat,1122145,1849595,2120847,1883913
Jawa Tengah,1087288,1568641,1750139,1528058
DI Yogyakarta,880523,1322022,1867409,1522771
Jawa Timur,1228666,1764812,1897685,1644642
Banten,1228564,2367689,2698201,2421145
Bali,1358881,1747480,2878576,2151630
Nusa Tenggara Barat,963132,1302293,1801383,1379214
Nusa Tenggara Timur,905218,1039818,1529013,1150810
Kalimantan Barat,1177041,1980342,2231493,1630308
Kalimantan Tengah,1600921,2312405,2511927,2075019
Kalimantan Selatan,1378011,1921873,2155570,1863874
Kalimantan Timur,2175465,2725328,3019262,2747287
Kalimantan Utara,2006032,2439667,2967791,2488613
Sulawesi Utara,1897640,2240810,2596071,2259865
Sulawesi Tengah,1372533,1577840,2085497,1628856
Sulawesi Selatan,1659937,1803898,2169985,1897155
Sulawesi Tenggara,1473322,1562939,1945913,1674995
Gorontalo,1354352,1662225,1631915,1538417
Sulawesi Barat,1235337,1114311,1469901,1282126
Maluku,1372238,1550872,2011688,1681024
Maluku Utara,1437369,2008138,2215888,1791261
Papua Barat,2029332,2504911,2827582,2523085
Papua,3443956,4623106,3908378,4000706
Indonesia,1299972,1747747,2171212,1816386
,,,,
Catatan,,,,
"<sup>1 </sup>   Pekerja Informal/<i>Informal Employee</i>: Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i>Employment </i>    <i>status are self employed, casual agricultural worker, and casual non-agricultural worker</i><sup>2 </sup>  Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/<i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie</i>    Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/<i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas, </i><i>Water, and Construction.</i>    Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i>Services: Wholesale Trade, Retail Trade, Restaurants and Hotels, </i><i>Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
